date,Open,High,Low,OT,Adj Close,Volume
4/3/2019,361.25,364.75,360.5,362.75,362.75,135849
4/4/2019,362.75,366.25,362.75,365.25,365.25,159329
4/5/2019,364.5,364.75,360.5,362.5,362.5,273057
4/8/2019,362.25,363.5,359.5,360,360,269564
4/9/2019,359.75,362.25,355.25,360,360,275445
4/10/2019,360.25,362.75,360,361.75,361.75,253300
4/11/2019,361.25,363,358.5,360,360,264730
4/12/2019,360.25,361.5,358.5,361,361,95871
4/15/2019,361.25,364.25,361,362.75,362.75,208541
4/16/2019,362.5,362.5,357.25,359,359,192351
4/17/2019,358.25,360,356.75,358.25,358.25,148184
4/18/2019,358,359.25,357,358.5,358.5,102302
4/22/2019,359,359,354.25,354.75,354.75,144705
4/23/2019,354.75,355,350.25,351.25,351.25,194770
4/24/2019,351,352.5,345.5,346.75,346.75,241386
4/25/2019,346,351,342.25,347.5,347.5,236880
4/26/2019,347.25,353.5,347,351.25,351.25,166752
4/29/2019,353.25,356,351.25,352,352,250771
4/30/2019,352.25,354,349.25,353.25,353.25,14379
5/1/2019,353.5,360.5,353.5,360,360,8291
5/2/2019,361,362.25,358.5,362,362,4314
5/3/2019,362.25,363.25,360.25,363,363,1645
5/6/2019,352.5,356,349,355.75,355.75,1710
5/7/2019,357,359.25,355,358,358,1156
5/8/2019,356.5,356.5,353.25,355.25,355.25,860
5/9/2019,350,350,344,344.5,344.5,657
5/10/2019,346.5,346.5,338.25,342.5,342.5,308
5/13/2019,335.5,348.25,335.5,347.5,347.5,286
5/14/2019,354.25,360.75,353.5,360.5,360.5,429399
5/15/2019,369,380,368,369.5,369.5,336989
5/16/2019,368.75,380.75,368.75,379,379,248510
5/17/2019,380,384.75,380,383.25,383.25,319503
5/20/2019,386,391.5,385.75,389,389,358734
5/21/2019,393.25,399,391.25,394.25,394.25,451260
5/22/2019,393.25,396.5,386.25,394.5,394.5,291262
5/23/2019,394,399,387,389.75,389.75,340117
5/24/2019,390.5,404.75,389.75,404.25,404.25,299952
5/28/2019,408,421,407.5,420.25,420.25,417683
5/29/2019,429.25,438,412.25,418.75,418.75,484436
5/30/2019,416.5,436.75,413.25,436.25,436.25,324914
5/31/2019,435,437.5,423.25,427,427,302171
6/3/2019,426.25,430.75,418.25,424.25,424.25,288442
6/4/2019,435,436,421.25,425.25,425.25,306703
6/5/2019,424.25,424.75,412.25,414.75,414.75,231859
6/6/2019,414.5,421.5,407,420.5,420.5,279006
6/7/2019,421,423.5,415,415.75,415.75,227751
6/10/2019,413,416.5,409,415.75,415.75,279949
6/11/2019,415,430.25,408.25,427.75,427.75,360317
6/12/2019,427.75,434.5,424,430,430,331360
6/13/2019,429.75,442.75,429.5,442,442,402152
6/14/2019,442,457.25,441.75,453,453,312814
6/17/2019,458.25,464.25,450.5,454.75,454.75,279480
6/18/2019,455.5,458,442.75,449.75,449.75,221471
6/19/2019,449.75,451.75,438.25,441,441,193331
6/20/2019,441.5,450.75,436.5,450,450,198628
6/21/2019,452,454,441.75,442.25,442.25,251093
6/24/2019,442.25,447.75,440.25,446.75,446.75,172094
6/25/2019,451,453,446.5,447.5,447.5,158426
6/26/2019,447,447.25,440.75,443.25,443.25,158878
6/27/2019,443,445.5,438.5,440,440,141131
6/28/2019,439,455,411,420.25,420.25,34514
7/1/2019,424.25,424.75,410.25,412,412,13482
7/2/2019,412.5,415.5,408.25,413.5,413.5,6526
7/3/2019,417,433.75,417,433,433,3471
7/5/2019,433,435.5,427,434,434,2127
7/8/2019,440.75,442.75,432,438.5,438.5,2083
7/9/2019,437.25,437.75,429.25,431.75,431.75,445
7/10/2019,430,434.75,428,434.25,434.25,494
7/11/2019,433.25,448,433.25,447.75,447.75,597
7/12/2019,447.75,457,447.75,449.5,449.5,169365
7/15/2019,459.25,460,439.75,441,441,164465
7/16/2019,437.75,440.75,429,435.25,435.25,144486
7/17/2019,435.25,441.5,431.5,436,436,125868
7/18/2019,435,436,423.25,424.5,424.5,156004
7/19/2019,425.5,434,423.75,430.75,430.75,114521
7/22/2019,430.75,432.25,421,422.25,422.25,110947
7/23/2019,423.75,426.5,418.25,425.5,425.5,131110
7/24/2019,425,430.5,421.5,424,424,93160
7/25/2019,424,425.75,418,418.5,418.5,172277
7/26/2019,418.25,419.5,413,414.5,414.5,120749
7/29/2019,413.25,419.5,412,417,417,90112
7/30/2019,417,417,410.25,411.25,411.25,81026
7/31/2019,410.75,413.75,400,400.25,400.25,151787
8/1/2019,401.75,403,387.25,392.75,392.75,145330
8/2/2019,394.75,400,393.5,399.5,399.5,90361
8/5/2019,400,406.75,391,405.25,405.25,109686
8/6/2019,405.75,408,400.75,404,404,113069
8/7/2019,404.75,407.5,400.5,406.5,406.5,167530
8/8/2019,407.25,412,405.5,411,411,184792
8/9/2019,410.75,417,407.25,410.25,410.25,185366
8/12/2019,409.75,410,385.25,385.25,385.25,248125
8/13/2019,379,379,365.5,366,366,312969
8/14/2019,366.25,370.5,358.5,359,359,185092
8/15/2019,360.25,363.75,358.25,360.75,360.75,108781
8/16/2019,361.5,371.25,361.25,371,371,104806
8/19/2019,367.25,368.25,363.25,365,365,78542
8/20/2019,366.5,370.25,359.25,359.5,359.5,89474
8/21/2019,360,364,357,362.5,362.5,125855
8/22/2019,363,366.5,359,363.25,363.25,99247
8/23/2019,362.75,363,357.5,359.75,359.75,169868
8/26/2019,358,362,357,358.5,358.5,122537
8/27/2019,359,360,356.75,357,357,129886
8/28/2019,357.25,365.5,355.25,362.75,362.75,172927
8/29/2019,363,369,357.5,359.75,359.75,122794
8/30/2019,359.75,364.5,356.75,358,358,11240
9/3/2019,358.75,359,349,349.75,349.75,5335
9/4/2019,350.5,351,344.5,346,346,3851
9/5/2019,346.5,349.5,346.5,346.5,346.5,1813
9/6/2019,347.5,348.25,341.5,342.5,342.5,1357
9/9/2019,343.25,343.25,340,340.75,340.75,938
9/10/2019,344,349.5,344,348.5,348.5,314
9/11/2019,349.75,349.75,344.75,348.25,348.25,328
9/12/2019,349.75,354.5,349.5,354.5,354.5,152
9/13/2019,358.5,358.5,355.5,355.5,355.5,145836
9/16/2019,372,374.75,367.5,374,374,133444
9/17/2019,374,374.25,366,368,368,154625
